#TAXONOMY	display_taxon	Species	Genus	Family	Order	Class	Phylum	Kingdom
eaae7dde9e509caa5b410a127e92c6d2	Prevotella timonensis A	 Prevotella timonensis A	 Prevotella	 Bacteroidaceae	 Bacteroidales	 Bacteroidia	 Bacteroidota	Bacteria
f2b5f5c8d1d0e264475c27d8d995964e	Bifidobacterium_388775 swidsinskii	 Bifidobacterium_388775 swidsinskii	 Bifidobacterium_388775	 Bifidobacteriaceae	 Actinomycetales	 Actinomycetes	 Actinomycetota	Bacteria
e32a48e0076a75a836ce501c03038681	Gardnerella vaginalis	 Gardnerella vaginalis	 Gardnerella	 Bifidobacteriaceae	 Bifidobacteriales	 Actinobacteria	 Actinomycetota	Bacteria
75385af2b2f8ccd96533c34c4d6467fb	Gardnerella (genus)	 Unclassified	 Gardnerella	 Bifidobacteriaceae	 Bifidobacteriales	 Actinobacteria	 Actinomycetota	Bacteria
ce659fc2613cd008f94b9d6e6d6bfc56	Prevotella denticola	 Prevotella denticola	 Prevotella	 Bacteroidaceae	 Bacteroidales	 Bacteroidia	 Bacteroidota	Bacteria
b2522443a93021f82f023e568fc6869d	Prevotella buccalis	 Prevotella buccalis	 Prevotella	 Bacteroidaceae	 Bacteroidales	 Bacteroidia	 Bacteroidota	Bacteria
a8dcfbcba4f362215c57d81fef34a45d	Peptoniphilus_A harei_A	 Peptoniphilus_A harei_A	 Peptoniphilus_A	 Peptoniphilaceae	 Tissierellales	 Clostridia_258483	 Bacillota_A_368345	Bacteria
41c32cecd20f5012fc7068a0e4745be7	Sneathia vaginalis	 Sneathia vaginalis	 Sneathia	 Leptotrichiaceae	 Fusobacteriales	 Fusobacteriia	 Fusobacteriota	Bacteria
7f3a1d369dd4934ed2f95a69158a5e2b	Prevotella timonensis A	 Prevotella timonensis A	 Prevotella	 Bacteroidaceae	 Bacteroidales	 Bacteroidia	 Bacteroidota	Bacteria
08cafcbaeb9a8ffd29c4b425ce234913	Dialister_37762 micraerophilus	 Dialister_37762 micraerophilus	 Dialister_37762	 Dialisteraceae	 Veillonellales	 Negativicutes	 Bacillota_C	Bacteria
ed2cb6094551b80a470d611872d07cf0	Limosilactobacillus (genus)	 Unclassified	 Limosilactobacillus	 Lactobacillaceae	 Lactobacillales	 Bacilli	 Bacillota	Bacteria
