#TAXONOMY	Kingdom	Phylum	Class	Order	Family 	Genus	Species 
2f781a5dc48d79ef5d25cee6807b462d	Bacteria	 Bacillota_A_368345	 Clostridia_258483	 Peptostreptococcales	 Peptostreptococcaceae_256921	 Peptostreptococcus	 Peptostreptococcus anaerobius
221dcb2eb4999e737a3623db25a2b2ec	Bacteria	 Bacteroidota	 Bacteroidia	 Bacteroidales	 Prevotellaceae	 Prevotella	 Unclassified
18ef4328b33b4af496c602f6c841f3e9	Bacteria	 Bacillota_I	 Bacilli_A	 Lactobacillales	 Lactobacillaceae	 Lactobacillus	 Lactobacillus iners
a7bb5c34aad1e1ba29d9c90e0c05f991	Bacteria	 Bacillota_A_368345	 Clostridia_258483	 Lachnospirales	 Lachnospiraceae	 UBA629	 UBA629 sp005465875
806f3f8cc4b9d9e11c656e9d615487d8	Bacteria	 Actinomycetota	 Coriobacteriia	 Coriobacteriales	 Atopobiaceae	 Fannyhessea	 Fannyhessea massiliensis
d316c47d94292b65802e76a2cb4f7776	Bacteria	 Bacteroidota	 Bacteroidia	 Bacteroidales	 Bacteroidaceae	 Prevotella	 Prevotella buccalis
32c7f82e719e581eb0ad1aa052211663	Bacteria	 Bacteroidota	 Bacteroidia	 Bacteroidales	 Bacteroidaceae	 Prevotella	 Prevotella buccalis
6a15b45e0900cc071b88b5524643d19e	Bacteria	 Actinomycetota	 Actinobacteria	 Bifidobacteriales	 Bifidobacteriaceae	 Gardnerella	 Gardnerella vaginalis
9adc7b3720575e9cb905024ce9d4100a	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Enterobacterales_737866	 Enterobacteriaceae_A_725029	 Enterobacter_B_681665	 Enterobacter_B_681665 hormaechei_681663
d69df9a6cf2e1efe9bd532d75804e30c	Bacteria	 Bacillota_I	 Bacilli_A	 Staphylococcales	 Gemellaceae	 Gemella	 Gemella asaccharolytica
2a7d52f6a221bc4b3bbd6d30151bc420	Bacteria	 Actinomycetota	 Actinobacteria	 Bifidobacteriales	 Bifidobacteriaceae	 Gardnerella	 Gardnerella vaginalis
ef344c38bd79d5885b6abf6cf015523a	Bacteria	 Actinomycetota	 Actinobacteria	 Bifidobacteriales	 Bifidobacteriaceae	 Gardnerella	 Gardnerella vaginalis
f7e54a05701c0a7cb5575125c8814fb1	Bacteria	 Bacillota_C	 Negativicutes	 Veillonellales	 Megasphaeraceae	 Megasphaera_C	 Megasphaera_C hutchinsoni
7f119804bb5d53dce2820ba36312dc07	Bacteria	 Bacillota_C	 Negativicutes	 Veillonellales	 Megasphaeraceae	 Megasphaera_C	 Megasphaera_C lornae
fd6d53aca3eaf7be3b63f81e01a44dd8	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Enterobacterales_737866	 Enterobacteriaceae_A_725029	 Klebsiella_724518	 Klebsiella_724518 granulomatis
b811e7ba28e2ed972e86e4f794f2db24	Bacteria	 Actinomycetota	 Actinomycetes	 Actinomycetales	 Bifidobacteriaceae	 Bifidobacterium	 Bifidobacterium vaginale B
e238a8c2a1df62ef0a00e1c4a3aec2b6	Bacteria	 Bacillota_I	 Bacilli_A	 Lactobacillales	 Lactobacillaceae	 Lactobacillus	 Lactobacillus iners
921c60670eb78e585b58e43fc3b1020d	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Enterobacterales_737866	 Enterobacteriaceae_A_725029	 Klebsiella_724518	 Klebsiella_724518 granulomatis
4c8b40b96252be244a772563ba23f290	Bacteria	 Actinomycetota	 Actinomycetes	 Actinomycetales	 Bifidobacteriaceae	 Bifidobacterium	 Bifidobacterium vaginale H
4149a2aef456e52b1753dd0e6cc0a50d	Bacteria	 Patescibacteria	 Saccharimonadia	 Saccharimonadales	 Nanoperiomorbaceae	 Nanoperiomorbus	 Nanoperiomorbus sp004136275
13bc41e35faa4f40a01de5a972c0c4ac	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Enterobacterales	 Enterobacteriaceae	 Escherichia-Shigella	 Escherichia-Shigella coli
83f988a4fae94f7cefab80c20bfefce0	Bacteria	 Actinomycetota	 Actinobacteria	 Bifidobacteriales	 Bifidobacteriaceae	 Gardnerella	 Gardnerella vaginalis
70b8c1134a31272e8a8ca466104bf146	Bacteria	 Actinomycetota	 Actinomycetes	 Actinomycetales	 Bifidobacteriaceae	 Bifidobacterium	 Bifidobacterium vaginale H
60a1767086b3cfb6f31de733f9001e3d	Bacteria	 Bacillota_A_368345	 Clostridia_258483	 Lachnospirales	 Lachnospiraceae	 UBA629	 UBA629 sp005465875
acb325c6c969b359e1890faeee6a0197	Bacteria	 Actinomycetota	 Actinobacteria	 Bifidobacteriales	 Bifidobacteriaceae	 Gardnerella	 Gardnerella vaginalis
67e45cd65eb2c8f742447500a25ff15c	Bacteria	 Bacillota_C	 Negativicutes	 Veillonellales	 Megasphaeraceae	 Megasphaera_C	 Megasphaera_C lornae
6871d466e5943e57606caeef4f48e74c	Bacteria	 Bacteroidota	 Bacteroidia	 Bacteroidales	 Bacteroidaceae	 Prevotella	 Prevotella buccalis
4032b03cca8d1dc2cd6025c252c60db4	Bacteria	 Actinomycetota	 Actinobacteria	 Bifidobacteriales	 Bifidobacteriaceae	 Gardnerella	 Gardnerella vaginalis
878b77828412e56c9461e4b1d03f4391	Bacteria	 Actinomycetota	 Actinobacteria	 Bifidobacteriales	 Bifidobacteriaceae	 Gardnerella	 Gardnerella vaginalis
187e6961e5b88bfaeaede39d295930da	Bacteria	 Actinomycetota	 Coriobacteriia	 Coriobacteriales	 Atopobiaceae	 Fannyhessea	 Fannyhessea vaginae
dfe38b238b43507a9f41a7ef7f7c2d44	Bacteria	 Actinomycetota	 Actinobacteria	 Bifidobacteriales	 Bifidobacteriaceae	 Gardnerella	 Gardnerella vaginalis
86e9de50e0d4e05a93b35f635a045696	Bacteria	 Bacteroidota	 Bacteroidia	 Bacteroidales	 Bacteroidaceae	 Prevotella	 Prevotella disiens
3ef29d732a5426ee23b752b34a874733	Bacteria	 Bacillota_C	 Negativicutes	 Veillonellales	 Megasphaeraceae	 Megasphaera_C	 Megasphaera_C lornae
3fa858cade5e4ceb5f13993768a8a4e1	Bacteria	 Bacillota_I	 Bacilli_A	 Lactobacillales	 Lactobacillaceae	 Lactobacillus	 Lactobacillus paragasseri
be89d5223753b38f3a2e51511a5dd49b	Bacteria	 Bacteroidota	 Bacteroidia	 Bacteroidales	 Bacteroidaceae	 Prevotella	 Prevotella timonensis A
52870b1426d32c2d6046453786c17135	Bacteria	 Bacteroidota	 Bacteroidia	 Bacteroidales	 Bacteroidaceae	 Prevotella	 Prevotella disiens
aceddd83c518674a744c6a5a9a1d2569	Bacteria	 Bacillota_I	 Bacilli_A	 Lactobacillales	 Lactobacillaceae	 Lactobacillus	 Lactobacillus iners
95405f8d199b4ef0be4585e2b881cc23	Bacteria	 Bacillota_A	 Clostridia	 Tissierellales	 Peptoniphilaceae	 Parvimonas	 Parvimonas sp001552895
5e521e641911da069fdb012d15da466e	Bacteria	 Bacillota_C	 Negativicutes	 Veillonellales	 Megasphaeraceae	 Megasphaera_C	 Megasphaera_C lornae
1720bd72977b7d1e7a77d68435dad123	Bacteria	 Bacillota_I	 Bacilli_A	 Lactobacillales	 Lactobacillaceae	 Limosilactobacillus	 Limosilactobacillus portuensis
b6412609a530b89c9c9dc6e8243ef9db	Bacteria	 Bacillota_I	 Bacilli_A	 Lactobacillales	 Lactobacillaceae	 Lactobacillus	 Lactobacillus iners
9234971881f433a1a662631054b9cf0f	Bacteria	 Bacillota_C	 Negativicutes	 Veillonellales	 Megasphaeraceae	 Megasphaera_C	 Megasphaera_C lornae
913a8c4ffe2fadbbf898f9908d06d8f1	Bacteria	 Actinomycetota	 Actinobacteria	 Bifidobacteriales	 Bifidobacteriaceae	 Gardnerella	 Gardnerella vaginalis
4005fd475cd499809031c474112aa4da	Bacteria	 Bacillota_A_368345	 Clostridia_258483	 Peptostreptococcales	 Peptostreptococcaceae_256921	 Peptostreptococcus	 Peptostreptococcus anaerobius
aed516a376b3179fc18daaade3f35482	Bacteria	 Bacillota_C	 Negativicutes	 Veillonellales	 Dialisteraceae	 Dialister_37762	 Dialister_37762 sp001553355
ab42b922e3607ca632a44bdbd7e26575	Bacteria	 Bacillota_C	 Negativicutes	 Veillonellales	 Megasphaeraceae	 Megasphaera_C	 Megasphaera_C lornae
ff82ee0d1be7306e69cb2f49d3ed714e	Bacteria	 Bacillota_I	 Bacilli_A	 Lactobacillales	 Lactobacillaceae	 Limosilactobacillus	 Limosilactobacillus portuensis
b502947e113c67d778fb9275b73cd6e9	Bacteria	 Bacillota_C	 Negativicutes	 Veillonellales	 Megasphaeraceae	 Megasphaera_C	 Megasphaera_C hutchinsoni
b61470014380d9dc69f8111e6c612176	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Enterobacterales_737866	 Enterobacteriaceae_A_725029	 Klebsiella_724518	 Klebsiella_724518 granulomatis
510a2bb55bcb716fb63d5c24cb71b353	Bacteria	 Bacillota_I	 Bacilli_A	 Lactobacillales	 Lactobacillaceae	 Lactobacillus	 Lactobacillus crispatus
