task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
104	e0/410379	64482	pb16S:cutadapt (41)	CACHED	0	2025-02-25 14:45:56.072	3.9s	900ms	638.5%	20 MB	40.4 MB	238.8 MB	232.3 MB
106	9d/9d0581	62719	pb16S:cutadapt (38)	CACHED	0	2025-02-25 14:45:41.537	3.9s	899ms	640.7%	20 MB	40.3 MB	228 MB	222.7 MB
113	48/956ed9	74605	pb16S:QC_fastq_post_trim (21)	CACHED	0	2025-02-25 14:46:53.309	2.1s	105ms	208.7%	35.4 MB	1.4 GB	6.1 MB	1.5 MB
111	0b/0a6504	63155	pb16S:cutadapt (39)	CACHED	0	2025-02-25 14:45:45.400	3.6s	646ms	471.8%	19.9 MB	40.3 MB	152.7 MB	149.2 MB
100	65/fa59fa	62282	pb16S:cutadapt (36)	CACHED	0	2025-02-25 14:45:37.576	4s	987ms	614.6%	19.7 MB	40.3 MB	263.2 MB	257.2 MB
109	06/de6d0d	76692	pb16S:QC_fastq_post_trim (26)	CACHED	0	2025-02-25 14:47:03.830	2.1s	95ms	200.0%	35.5 MB	1.4 GB	5.5 MB	1.4 MB
118	ff/9f991a	77110	pb16S:QC_fastq_post_trim (27)	CACHED	0	2025-02-25 14:47:05.910	2.1s	97ms	193.1%	35.2 MB	1.4 GB	5.8 MB	1.4 MB
107	60/a8eb18	65796	pb16S:cutadapt (44)	CACHED	0	2025-02-25 14:46:06.927	3.3s	274ms	161.1%	19.8 MB	40.3 MB	11.9 MB	9.8 MB
110	4a/aa6f3e	82126	pb16S:QC_fastq_post_trim (39)	CACHED	0	2025-02-25 14:47:31.502	2.1s	98ms	201.1%	36.2 MB	1.4 GB	6 MB	1.6 MB
114	76/333f46	77527	pb16S:QC_fastq_post_trim (28)	CACHED	0	2025-02-25 14:47:08.009	2.1s	103ms	193.4%	33 MB	1.4 GB	5.9 MB	1.3 MB
115	61/bebc5e	64922	pb16S:cutadapt (42)	CACHED	0	2025-02-25 14:45:59.945	3.5s	471ms	376.0%	20.5 MB	40.6 MB	71.9 MB	68.5 MB
119	27/7feb50	57445	pb16S:cutadapt (25)	CACHED	0	2025-02-25 14:44:59.342	3.5s	449ms	382.0%	19.9 MB	40.3 MB	68.7 MB	65.7 MB
122	5d/97e602	81283	pb16S:QC_fastq_post_trim (37)	CACHED	0	2025-02-25 14:47:27.119	2.2s	251ms	207.2%	34.1 MB	1.4 GB	18.5 MB	3.9 MB
116	9b/10f5db	82964	pb16S:QC_fastq_post_trim (41)	CACHED	0	2025-02-25 14:47:35.753	2.3s	271ms	202.2%	34.3 MB	1.4 GB	19.7 MB	4 MB
112	ba/f4fb38	60973	pb16S:cutadapt (32)	CACHED	0	2025-02-25 14:45:27.192	3.5s	431ms	325.4%	20.2 MB	40.4 MB	70.4 MB	67.7 MB
123	25/005469	74182	pb16S:QC_fastq_post_trim (20)	CACHED	0	2025-02-25 14:46:51.145	2.2s	137ms	189.0%	34.1 MB	1.4 GB	8.3 MB	1.7 MB
125	1c/ce6cfd	80864	pb16S:QC_fastq_post_trim (36)	CACHED	0	2025-02-25 14:47:24.808	2.3s	277ms	213.1%	33.9 MB	1.4 GB	20.9 MB	4.5 MB
120	d9/fb1384	64042	pb16S:cutadapt (40)	CACHED	0	2025-02-25 14:45:52.511	3.6s	578ms	485.6%	20.2 MB	40.6 MB	119.6 MB	115.4 MB
121	ee/9101a7	65360	pb16S:cutadapt (43)	CACHED	0	2025-02-25 14:46:03.482	3.4s	425ms	298.9%	20.2 MB	40.4 MB	59.8 MB	57.2 MB
124	24/294f73	80029	pb16S:QC_fastq_post_trim (34)	CACHED	0	2025-02-25 14:47:20.623	2.1s	123ms	202.8%	35.2 MB	1.4 GB	7.7 MB	1.9 MB
127	77/e8f438	75021	pb16S:QC_fastq_post_trim (22)	CACHED	0	2025-02-25 14:46:55.407	2.1s	144ms	205.6%	34.6 MB	1.4 GB	8.2 MB	1.9 MB
126	4d/e9298e	84215	pb16S:QC_fastq_post_trim (44)	CACHED	0	2025-02-25 14:47:42.238	2.1s	35ms	166.2%	3.5 MB	12.3 MB	735.2 KB	169.9 KB
117	89/fc0047	78779	pb16S:QC_fastq_post_trim (31)	CACHED	0	2025-02-25 14:47:14.338	2.1s	102ms	191.3%	34 MB	1.4 GB	6.2 MB	1.3 MB
132	a9/3034e2	83800	pb16S:QC_fastq_post_trim (43)	CACHED	0	2025-02-25 14:47:40.170	2.1s	74ms	179.1%	21.9 MB	713.1 MB	4 MB	1006.1 KB
131	81/6e49cd	79616	pb16S:QC_fastq_post_trim (33)	CACHED	0	2025-02-25 14:47:18.559	2.1s	85ms	188.2%	35.3 MB	1.4 GB	4.7 MB	1.2 MB
128	23/e577ef	81706	pb16S:QC_fastq_post_trim (38)	CACHED	0	2025-02-25 14:47:29.351	2.1s	167ms	207.0%	34.7 MB	1.4 GB	11.8 MB	2.6 MB
134	ea/3fb2bb	84626	pb16S:prepare_qiime2_manifest (1)	CACHED	0	2025-02-25 14:47:44.303	2.3s	336ms	159.7%	3.6 MB	12.4 MB	1.4 MB	55.3 KB
129	58/f2ba8e	76274	pb16S:QC_fastq_post_trim (25)	CACHED	0	2025-02-25 14:47:01.705	2.1s	90ms	188.8%	34.4 MB	1.4 GB	5.3 MB	1.1 MB
133	ed/29d720	82543	pb16S:QC_fastq_post_trim (40)	CACHED	0	2025-02-25 14:47:33.621	2.1s	147ms	198.4%	32.7 MB	1.4 GB	9.8 MB	2 MB
130	d7/eac9dd	83382	pb16S:QC_fastq_post_trim (42)	CACHED	0	2025-02-25 14:47:38.023	2.1s	99ms	187.7%	34.2 MB	1.4 GB	5.9 MB	1.2 MB
136	ea/5c81af	86132	pb16S:merge_manifest	CACHED	0	2025-02-25 14:47:51.853	2.2s	10ms	91.4%	0	0	85.4 KB	1.4 KB
135	f1/512ea3	86135	pb16S:import_qiime2 (1)	CACHED	0	2025-02-25 14:47:51.858	24.6s	21.4s	109.8%	406.6 MB	2.7 GB	815.2 MB	362.8 MB
138	3f/a2e5d0	87669	pb16S:demux_summarize (1)	CACHED	0	2025-02-25 14:48:16.491	1m 51s	1m 48s	104.0%	1.4 GB	3.9 GB	1.2 GB	366.9 MB
137	db/7f5429	85386	pb16S:collect_QC	CACHED	0	2025-02-25 14:47:46.631	5.2s	3.1s	176.4%	59.4 MB	719.1 MB	152.7 MB	101.6 MB
139	b5/ebe85f	3833	pb16S:dada2_denoise (1)	COMPLETED	0	2025-02-25 18:46:54.036	1h 43m 46s	1h 43m 42s	1423.0%	16.9 GB	57.4 GB	1.3 GB	526.7 MB
140	5b/2d1643	33049	pb16S:mergeASV	COMPLETED	0	2025-02-25 20:30:39.857	36.9s	33.8s	125.9%	386.9 MB	2.7 GB	285.5 MB	6.1 MB
141	cb/964fb7	34388	pb16S:filter_dada2	COMPLETED	0	2025-02-25 20:31:16.768	29.7s	26.6s	124.9%	391.7 MB	2.7 GB	225.5 MB	8.2 MB
144	84/90cd9c	35630	pb16S:dada2_qc (1)	COMPLETED	0	2025-02-25 20:31:46.524	33.3s	30.2s	136.3%	419.6 MB	2.9 GB	295.4 MB	20.4 MB
143	b7/dfa093	36970	pb16S:dada2_assignTax	COMPLETED	0	2025-02-25 20:32:19.830	45m 47s	45m 44s	1343.1%	18 GB	21.3 GB	750.1 MB	32.1 MB
142	10/7cd170	49712	pb16S:class_tax	COMPLETED	0	2025-02-25 21:18:06.861	5m 1s	4m 58s	1191.6%	5.1 GB	8.2 GB	1.7 GB	1.3 GB
147	95/80c5a3	54640	pb16S:barplot_nb (1)	COMPLETED	0	2025-02-25 21:23:08.039	17.7s	14.1s	114.5%	375.8 MB	2.7 GB	106.6 MB	9.1 MB
148	06/f06152	57054	pb16S:barplot (1)	COMPLETED	0	2025-02-25 21:23:25.791	17.2s	13.9s	115.0%	375.6 MB	2.7 GB	105.6 MB	8.4 MB
149	82/656236	62290	pb16S:export_biom	COMPLETED	0	2025-02-25 21:23:42.988	17.3s	14.1s	145.6%	372.3 MB	2.7 GB	128.2 MB	3.2 MB
146	4c/c4f470	54632	pb16S:dada2_rarefaction (1)	COMPLETED	0	2025-02-25 21:23:08.028	1m 3s	59.9s	104.7%	416.2 MB	2.8 GB	226.4 MB	46 MB
145	25/5cbd60	67291	pb16S:qiime2_phylogeny_diversity (1)	COMPLETED	0	2025-02-25 21:24:11.419	1m 27s	1m 24s	220.6%	454.2 MB	4.6 GB	547.6 MB	56 MB
150	5a/e751b4	73773	pb16S:html_rep (1)	COMPLETED	0	2025-02-25 21:26:36.199	22.3s	20.9s	114.8%	1.1 GB	4.7 GB	58.3 MB	5.3 MB
